name,location,price,rating
Apartement Place Vendome by Studioprestige,"2nd arr., Paris","₹ 609,733",7.6
Hôtel Joséphine by Happyculture,"9th arr., Paris","₹ 156,464",8.1
Atlantic Hotel,"8th arr., Paris","₹ 183,463",8.9
Hotel Ares Eiffel,"15th arr., Paris","₹ 280,871",8.6
Best Western Plus La Demeure,"13th arr., Paris","₹ 189,265",8.5
"Maison Proust, Hotel & Spa La Mer","3rd arr., Paris","₹ 1,075,210",9.3
Paris Marriott Rive Gauche Hotel & Conference Center,"14th arr., Paris","₹ 179,055",7.0
St Christopher's Inn Paris - Canal,"19th arr., Paris","₹ 106,842",7.4
Best Western Premier The Blake Paris Gare Saint Lazare,"8th arr., Paris","₹ 241,111",8.8
Victoria Palace Hotel,"6th arr., Paris","₹ 376,181",9.1
Hôtel Plaza Athénée - Dorchester Collection,"8th arr., Paris","₹ 1,769,756",9.4
Hotel Scarlett,"20th arr., Paris","₹ 156,082",8.3
Maison Albar - Le Diamond,"8th arr., Paris","₹ 454,794",8.5
Hotel de Neuville Arc de Triomphe,"17th arr., Paris","₹ 194,244",8.2
"Mandarin Oriental Lutetia, Paris","6th arr., Paris","₹ 1,497,853",9.3
Maison Albar - Le Pont-Neuf,"1st arr., Paris","₹ 525,918",8.9
Hotel Relais Bosquet by Malone,"7th arr., Paris","₹ 302,814",8.8
Hotel Maison FL,"16th arr., Paris","₹ 337,255",8.8
Le Meurice – Dorchester Collection,"1st arr., Paris","₹ 1,352,361",9.4
1.75 Paris Le Charme,"13th arr., Paris","₹ 213,039",9.1
The Peninsula Paris,"16th arr., Paris","₹ 1,736,365",9.4
Maison Albar- Le Champs-Elysées,"8th arr., Paris","₹ 375,656",8.3
Habitat Parisien - Grands Boulevards Montorgueil,"2nd arr., Paris","₹ 234,695",8.3
All Suites Appart & Hotel Paris 13 Porte d'Italie,"13th arr., Paris","₹ 114,373",8.0
lyf Gambetta Paris,"20th arr., Paris","₹ 138,715",8.7
